Ticker,Morningstar Sustainability Rating,Average Market Cap ($ mil),ROE Last Year (%),Debt/Capital Last Year (%),No. of Holdings in Portfolio,% Assets in Top 10 Holdings,Turnover Ratio (%),Average Manager Tenure (years),Expense Ratio (%),Minimum Initial Purchase ($),Total Assets ($ mil),3-year Annualized Return vs. S&P500,Outperform / Underperform,No-load Funds,Closed to New Investors
CTVCX,5,2048,1.48,29.51,29,58.07,225,14,2.55,2500,9,-15.78,0,0,0
LCSTX,4,83277,23.59,45.78,53,30.99,58,6,1.17,0,26,8.849999999999998,1,1,0
NBHCX,2,59896,19.52,46.72,83,25.08,56,10,1.81,1000,1317,-7.8900000000000015,0,0,0
EKJRX,2,98404,14.53,36.22,79,39.37,45,8,0.8,0,3269,9.349999999999998,1,1,0
PLVJX,3,69056,15.17,43.65,866,19.96,55,12,1.04,1000,2384,-6.300000000000002,0,0,0
AMGOX,4,15056,8.23,32.51,110,21.51,189,4,1.01,0,215,13.56,1,1,0
HNSGX,4,5089,4.57,36.73,69,24.51,95,13,0.8,1000000,1205,8.469999999999999,1,1,0
TBDAX,4,235919,33.51,41.32,91,44.18,149,14,1.22,1000,330,8.02,1,0,0
HBSGX,3,3890,-1.73,36.83,172,11.13,42,6,0.89,0,1400,4.599999999999998,1,1,1
PVFIX,1,213,0.61,23.76,53,42.11,20,18,1.24,2500,30,-10.27,0,1,0
WOOQX,4,8367,18.6,42.95,96,18.33,92,0,0.89,0,412,-5.29,0,1,0
BUITX,4,14775,4.81,41.99,94,16.79,123,6,0.86,250000,1836,6.16,1,1,0
GBCCX,1,51218,12.88,46.03,61,36.15,18,4,2.75,1000,20,-9.65,0,0,0
ARZDX,3,42899,24.43,56.72,52,35.12,35,11,0.81,5000000,510,-8.3,0,1,0
TGVVX,2,143945,24.39,40.87,45,44.13,101,14,0.9,500000,163,8.560000000000002,1,1,0
FOCAX,2,160048,20.05,44.42,31,65.46,53,11,1.13,500,751,6.02,1,0,0
AMADX,4,62977,18.88,48.89,193,16.49,100,1,0.92,2500,2473,-4.300000000000002,0,0,0
TWADX,2,59084,9.65,42.43,98,26.33,46,13,1.25,2500,2390,-7.940000000000001,0,0,0
GSPTX,2,141916,23.2,44.33,181,26.89,47,14,0.89,0,1060,3.03,1,1,0
NLCIX,3,63043,31.15,47.92,92,30.52,107,6,0.73,100000,465,-5.360000000000001,0,1,0
USISX,4,53718,28.59,48.99,205,17.28,64,2,0.74,3000,2673,-6.840000000000002,0,1,0
SLYCX,2,80603,23.12,45.81,296,18.21,63,5,0.64,100000,2210,-2.290000000000001,0,1,0
PGICX,3,45665,25.44,50.38,36,39.08,118,0,1.97,2500,137,-5.54,0,0,0
VVOIX,2,10997,9.32,48.26,56,37.64,41,6,0.96,1000,690,-9.8,0,1,0
URLGX,4,114551,20.33,38.75,36,41.53,22,14,1.38,0,2234,7.93,1,0,0
JMVRX,4,14611,9.81,44.33,111,15.45,18,20,0.83,0,14975,-7.630000000000001,0,1,0
MSCYX,3,4612,2.28,33.32,268,9.73,79,11,1.07,0,772,10.06,1,1,0
IVGAX,2,59677,8.68,45.97,75,25.93,22,12,1.24,0,394,-10.15,0,0,0
NSBCX,4,142922,28.97,46.2,41,35.09,49,2,1.7,3000,6023,-3.86,0,0,0
ETAGX,3,16402,6.85,40.94,77,35.55,35,13,1.43,1000,4550,12.39,1,0,0
FDVLX,3,7873,3.09,54.84,222,11.12,90,11,0.55,0,6553,-4.9700000000000015,0,1,0
RMVIX,2,550,7.04,34.52,456,11.3,20,12,1.07,250000,113,-7.410000000000001,0,1,0
FMPYX,3,3908,-0.77,37.76,89,16.92,105,13,1.47,0,275,10.170000000000002,1,0,0
BDAUX,5,145124,28.46,43.22,36,45.95,17,3,0.7,5000000,17,2.41,1,1,0
SPSRX,3,2209,8.74,45.67,183,10.98,51,8,1.3,1000,110,-12.260000000000002,0,0,0
PGFIX,2,204556,29.24,44.46,48,49.36,63,7,0.67,1000000,1346,10.119999999999996,1,1,0
PEEAX,4,22953,6.93,37.54,73,20.93,58,3,1.06,1000,2902,8.11,1,0,0
CAVAX,3,48557,17.68,43.16,821,12.73,34,3,0.86,500,319,-2.490000000000001,0,1,0
WLCAX,3,59144,17.74,39.05,110,25.3,366,4,0.82,1000,221,-5.900000000000001,0,0,0
QRSVX,4,2858,11.07,28.74,49,35.68,24,19,1.18,1500,215,-2.120000000000001,0,1,0
GFVCX,2,105210,15.46,46.84,37,36.77,102,2,1.85,1000,20,-6.300000000000002,0,0,0
RMORX,4,19951,5.27,41.36,86,24.86,86,9,0.94,0,591,3.18,1,1,0
VIGAX,4,264359,31.41,43.34,258,45.19,11,15,0.05,3000,146732,10.529999999999998,1,1,0
OPMNX,4,17004,13.86,41.03,82,21.04,27,8,1.34,0,2755,-4.380000000000001,0,0,0
CSCJX,3,1338,11.16,39.83,282,5.4,127,17,1.0,1000000,162,-6.250000000000001,0,1,0
TEEAX,3,2054,10.4,33.98,77,33.42,40,30,1.15,1000,101,-9.94,0,0,0
JGRRX,4,121601,25.22,34.78,34,43.28,113,9,0.91,250,65,5.9899999999999975,1,1,0
FBCGX,2,163125,18.33,39.81,435,45.58,49,4,0.45,0,5468,16.9,1,1,0
LRSQX,3,2302,8.29,41.39,75,20.79,95,2,1.55,0,674,-9.74,0,0,0
MDDIX,2,74343,21.71,48.45,247,23.98,52,9,0.58,0,381,-7.510000000000002,0,1,0
MRAGX,5,4167,3.94,43.48,99,25.25,47,7,1.17,2500,2481,2.27,1,0,1
ECASX,4,8673,13.6,40.02,58,32.38,21,17,1.92,1000,12436,-3.0,0,0,0
DNDGX,4,4019,-2.12,32.13,112,13.51,178,12,1.75,100000,75,14.27,1,1,0
TSVQX,3,1441,1.75,42.61,329,9.06,53,6,0.67,0,664,-11.27,0,1,0
MIGKX,4,162582,28.83,42.15,54,42.39,23,8,0.47,0,9996,6.949999999999998,1,1,0
HMVFX,2,8695,8.54,40.9,83,19.39,61,4,0.82,1000000,746,-7.130000000000001,0,1,0
MSGGX,4,1555,-3.06,39.06,134,23.61,40,7,1.13,1000,1676,4.690000000000001,1,1,1
JACAX,3,235784,30.52,42.94,41,48.71,35,6,0.77,0,1098,10.5,1,1,0
ISMOX,4,21320,8.98,45.02,68,25.86,95,9,0.91,0,2295,5.099999999999998,1,1,0
PBLAX,4,229658,29.56,46.28,42,55.8,30,8,0.93,1000,8859,9.349999999999998,1,0,0
IVOYX,3,10985,20.0,49.91,36,29.95,25,6,1.26,0,1221,-3.66,0,1,0
JATTX,3,5791,4.5,40.7,125,19.08,32,6,0.9,2500,12900,3.0399999999999987,1,1,1
SPECX,3,189172,26.01,38.07,90,48.81,72,11,1.4,1000,8138,9.07,1,0,0
FTXAX,3,4140,-2.92,41.97,53,24.83,128,3,1.3,1000,91,11.849999999999998,1,0,0
NBGTX,2,124831,17.12,38.26,73,31.64,49,5,1.05,0,1750,6.039999999999999,1,1,1
GSTRX,3,235542,27.17,41.02,77,43.84,39,14,1.4,0,193,9.170000000000002,1,0,0
FFPIX,4,204588,24.17,35.32,302,43.05,67,4,0.0,0,23,6.16,1,1,0
APSGX,2,7757,8.44,39.25,74,25.36,38,5,1.05,1000000,152,7.529999999999998,1,1,0
GCTSX,2,61690,24.44,44.49,329,26.41,205,6,1.24,0,1911,-2.99,0,1,0
ICSAX,2,2689,2.61,43.44,123,13.39,25,15,1.37,0,163,-7.410000000000001,0,0,0
FREIX,2,137844,20.91,50.01,77,29.77,23,10,1.08,1000,2805,-5.44,0,0,0
WSGBX,3,4520,-0.78,40.52,80,23.76,40,6,2.22,750,3037,4.8599999999999985,1,0,1
VAFAX,3,154246,21.51,40.93,95,44.36,52,11,1.0,1000,15752,8.73,1,0,0
MRIEX,2,34835,15.75,48.22,69,30.57,140,1,1.34,2500,61,6.4899999999999975,1,1,0
FKACX,3,133080,22.0,38.66,111,36.73,19,9,1.7,1000,5525,8.059999999999999,1,0,0
FLRAX,2,109210,19.33,41.47,65,34.98,101,11,1.11,3000,46,-3.040000000000002,0,0,0
TETAX,3,897,7.82,32.86,66,35.83,25,18,1.33,1000,68,-8.98,0,0,0
PSGQX,2,221489,16.85,40.98,31,50.54,72,12,0.67,0,1292,16.359999999999996,1,1,0
WGROX,5,4548,11.79,37.75,59,28.47,38,13,1.19,2000,3589,8.709999999999997,1,1,1
QALGX,3,147896,36.33,47.19,102,41.6,220,8,1.11,1500,188,8.649999999999999,1,0,0
RDIIX,2,5181,14.77,29.98,69,34.63,8,9,0.97,1000000,75,-7.950000000000001,0,1,0
JTWRX,3,207673,20.23,40.34,45,37.92,74,6,1.46,0,1103,2.1899999999999977,1,0,1
MSHLX,1,55810,-5.08,34.43,46,51.16,87,15,1.32,1000,17851,26.57,1,0,1
NSMVX,4,369,11.05,27.23,46,44.37,22,8,1.43,5000,115,3.8699999999999988,1,1,0
DRISX,3,2952,5.99,41.05,103,18.95,61,12,1.07,100000,276,-10.010000000000002,0,1,0
FMVSX,3,11401,9.89,43.17,73,20.43,56,9,1.42,0,344,-8.88,0,0,0
EALCX,3,200103,26.65,39.94,62,46.12,40,15,1.05,1000,402,7.439999999999998,1,0,0
LEXCX,4,142638,16.04,45.04,20,91.92,3,85,0.47,1000,684,-6.3900000000000015,0,1,0
TRDFX,4,3632,10.63,37.22,969,5.07,28,8,0.81,1000,262,-4.520000000000001,0,1,0
NRACX,5,87475,25.15,41.76,48,37.4,21,17,1.79,2500,1762,-3.0000000000000013,0,0,0
GGCTX,3,227189,26.32,38.04,41,49.21,36,13,0.91,0,193,8.8,1,1,0
HIMVX,3,7314,11.57,48.57,145,14.54,4,12,1.25,2500,414,-12.72,0,1,0
JLGRX,3,152879,27.08,41.19,77,37.1,47,4,0.54,0,32900,16.24,1,1,0
ASMYX,2,95897,20.08,40.61,114,40.96,38,8,0.74,1000,3673,10.8,1,1,0
OIEPX,3,90410,19.37,46.33,87,22.55,22,6,0.97,0,37352,-5.62,0,1,0
MPISX,1,53477,13.27,51.82,53,37.09,78,6,0.81,10000,581,-7.130000000000001,0,1,0
PLAYX,3,143377,21.17,40.83,92,37.27,42,7,0.88,2000000,1225,7.440000000000001,1,1,0
TMVAX,2,550,7.04,34.52,456,11.3,20,12,1.32,1000,113,-7.920000000000001,0,0,0
AMFEX,3,165464,28.91,47.63,56,41.43,22,4,1.18,10000,409,-3.110000000000001,0,1,0
MADFX,4,114117,29.37,54.16,30,47.5,38,4,0.9,1000,23,-6.8100000000000005,0,1,0
ACRTX,3,2768,5.27,32.72,63,24.11,30,9,1.12,100000,230,-8.55,0,1,0
NAMAX,3,17304,6.83,46.28,51,27.66,28,5,0.91,2000,2250,-4.990000000000001,0,1,0
GTTMX,4,14792,16.16,42.39,91,29.49,98,11,2.06,0,34,-8.120000000000001,0,1,0
SKSZX,3,2066,8.66,37.99,74,20.55,20,0,0.92,5000000,344,-7.85,0,1,0
LAFSX,4,93311,24.07,52.63,72,21.94,63,4,0.72,0,5791,-8.0,0,1,0
QCLVX,3,40662,19.06,47.74,101,22.73,139,8,1.8,1500,1179,-8.760000000000002,0,0,0
ACCLX,3,16969,11.87,41.78,96,20.7,55,14,1.98,2500,8200,-9.86,0,0,1
STRNX,3,12539,15.03,39.87,52,27.81,9,9,1.92,1000,62,-8.8,0,0,0
PTSGX,3,108768,20.3,43.0,32,56.47,41,9,1.24,2500,5206,16.59,1,1,0
AMIGX,5,129545,38.74,44.57,37,53.15,0,4,0.78,100000,2878,9.729999999999997,1,1,0
MLVGX,2,97561,24.54,43.6,92,27.06,34,6,1.64,1000,601,-2.47,0,0,0
PRUFX,3,258775,23.74,39.14,87,45.62,27,7,0.52,1000000,70292,7.809999999999999,1,1,0
SEPKX,4,29536,9.32,33.07,65,25.97,62,10,1.1,1000000,1166,13.54,1,1,0
WEECX,1,92034,17.48,42.35,47,28.72,46,5,1.88,1000,52,-7.380000000000001,0,0,0
EIVTX,2,107025,18.02,46.08,44,32.42,34,7,1.36,0,821,-6.060000000000001,0,1,0
FVLAX,5,68687,16.81,39.21,54,37.25,144,6,1.25,0,21,-11.63,0,0,0
TLGAX,1,35334,20.19,43.09,54,45.22,23,7,1.49,1000,113,-2.1500000000000004,0,0,0
FAGAX,2,121246,11.44,37.91,268,35.55,47,6,1.06,0,19894,26.439999999999994,1,0,0
SDVCX,4,35808,26.89,50.07,42,29.14,47,5,1.78,500,44,-8.170000000000002,0,0,0
BMSVX,4,15050,13.58,40.47,146,16.5,81,4,0.59,0,389,-3.5200000000000005,0,1,0
SVLCX,1,60589,13.94,50.95,39,35.82,18,14,1.55,2000,1203,-7.82,0,0,0
MDDLX,2,74343,21.71,48.45,247,23.98,52,9,0.88,0,381,-8.110000000000001,0,1,0
BMIIX,1,53477,13.27,51.82,53,37.09,78,6,0.87,1000,581,-7.23,0,1,0
GSIIX,3,99528,20.4,46.54,70,26.81,42,2,0.74,1000000,377,-5.540000000000001,0,1,0
TBCIX,2,281208,24.35,37.43,125,46.7,32,28,0.56,1000000,97185,7.18,1,1,0
VMSGX,4,17074,12.51,42.23,150,15.22,25,7,0.81,0,413,7.810000000000002,1,1,0
VFFSX,3,176946,27.28,45.66,512,27.39,4,4,0.01,0,179500,2.08,1,1,0
KLCIX,2,91489,17.68,38.61,68,32.51,24,9,0.83,1000000,4547,6.850000000000001,1,1,0
HMVCX,2,8695,8.54,40.9,83,19.39,61,4,2.03,2000,746,-9.59,0,0,0
RVVRX,4,1456,13.08,26.47,89,22.64,64,17,1.97,2000,131,-10.11,0,0,0
ABECX,5,153064,30.55,45.8,33,43.08,21,7,1.81,1000,1523,-4.440000000000001,0,0,0
PMGJX,3,18989,4.03,35.93,61,25.57,121,6,0.93,1000,275,11.98,1,0,0
NEAIX,5,4199,10.03,24.84,64,63.8,9,11,1.46,100000,84,14.689999999999998,1,1,0
FBGRX,2,158098,18.1,39.63,464,45.78,49,12,0.78,0,48446,17.04,1,1,0
STSNX,3,5813,11.63,36.55,44,34.51,8,10,1.25,1000,504,-7.940000000000001,0,0,0
SMLVX,3,3419,15.38,27.05,94,27.47,151,4,2.23,1000,59,-13.63,0,0,0
CFVLX,3,68307,24.07,49.65,49,28.09,54,16,0.7,1000,287,-5.610000000000001,0,1,0
LCLTX,4,21902,2.31,45.89,93,25.59,24,8,1.48,1000,2068,20.37,1,0,0
MFVSX,3,118460,24.13,51.41,71,37.72,41,4,0.84,0,762,-2.3000000000000007,0,1,0
WGMVX,3,746,3.53,24.33,91,18.08,63,18,1.6,100000,346,9.939999999999998,1,1,0
AMDVX,3,16969,11.87,41.78,96,20.7,55,14,0.63,0,8390,-7.1400000000000015,0,1,1
GLCGX,3,169369,33.75,43.94,117,45.77,218,9,0.92,1000,2007,4.44,1,0,0
DSFRX,4,153720,27.55,45.05,323,34.89,21,2,0.79,0,1008,4.550000000000002,1,1,0
SACVX,4,174708,30.18,48.3,164,32.51,8,3,2.22,500,132,-3.430000000000001,0,0,0
FDSAX,3,67347,40.5,58.82,32,35.32,68,6,1.09,500,4724,-12.5,0,0,0
TSPFX,4,3382,1.92,32.35,49,34.88,69,5,1.15,5000,223,4.869999999999999,1,1,0
CCWRX,4,114551,20.33,38.75,36,41.53,22,14,0.71,1000000,2234,9.38,1,1,0
MFQTX,3,82284,29.31,42.97,192,35.69,45,11,0.88,100000,72,-2.490000000000001,0,1,0
USPVX,3,197897,26.77,53.2,29,64.89,17,8,1.6,2500,38,-5.200000000000001,0,0,0
RPXIX,2,131714,12.96,45.99,36,39.29,53,10,0.93,50000,78,10.72,1,1,0
EQNVX,4,120961,25.81,45.21,90,33.97,42,6,0.55,0,243,-3.4800000000000004,0,1,0
MMVYX,4,2072,3.56,41.2,191,12.21,57,1,1.2,0,221,-7.57,0,1,0
MSGNX,3,4612,2.28,33.32,268,9.73,79,11,1.57,0,772,8.959999999999997,1,0,0
SSMJX,2,9282,0.91,39.43,1,100.0,51,6,0.49,2000,297,4.2799999999999985,1,0,0
UIAGX,4,156558,23.27,35.85,73,40.34,64,2,0.7,1000000,2117,6.079999999999997,1,1,0
CAMLX,4,205981,35.35,43.72,42,45.62,24,12,0.95,2000,430,6.530000000000001,1,1,0
IEDIX,3,53678,7.28,47.02,75,25.55,154,6,0.76,250000,702,-6.040000000000001,0,1,0
LVOSX,2,6988,15.59,39.31,74,19.9,36,2,1.18,0,1621,-3.770000000000001,0,1,0
JARTX,3,233213,30.52,42.87,41,48.44,42,6,1.16,2500,19121,9.369999999999996,1,1,0
FISSX,3,3361,7.53,37.96,111,19.7,129,1,1.28,1000,352,-12.07,0,0,0
LSCNX,3,2711,7.99,40.2,127,13.17,23,15,0.85,1000000,602,-8.22,0,1,0
SAVLX,3,57460,8.72,43.32,298,23.49,10,5,0.74,100000,557,-9.65,0,1,0
FOGIX,4,12643,7.73,31.83,33,41.78,14,8,0.95,100000,331,3.27,1,1,0
POSKX,2,58342,22.6,50.89,130,29.59,8,13,0.65,2000,7227,-2.7300000000000004,0,1,0
PESPX,2,6301,10.63,40.45,403,7.72,18,4,0.5,2500,2366,-2.780000000000001,0,1,0
WPSZX,4,100343,29.22,47.96,21,63.01,23,12,0.84,2000000,981,6.0,1,1,0
ASPIX,3,189172,26.01,38.07,90,48.81,72,11,1.39,0,8138,9.079999999999998,1,1,0
APGAX,3,166768,31.44,33.09,53,46.37,32,7,0.85,2500,15807,8.089999999999996,1,0,0
PCSMX,3,4508,-2.11,34.18,1242,11.43,68,12,0.86,0,2938,10.73,1,1,0
MIDUX,4,151558,30.87,51.13,73,39.78,121,2,0.89,0,199,-3.1700000000000013,0,1,0
DCURX,4,47045,28.66,48.75,41,26.01,138,5,0.63,0,693,-10.07,0,1,0
GSPAX,3,176198,28.29,46.06,314,-7.58,26,6,1.12,1000,2755,-2.45,0,0,0
ALVGX,3,94888,17.59,40.99,45,40.88,72,2,0.64,0,871,-6.19,0,1,0
DSCVX,2,3259,1.78,43.79,83,19.55,95,6,1.13,2500,490,-5.420000000000001,0,1,0
PGIAX,1,92824,16.08,52.34,56,40.43,294,2,1.12,0,731,-4.820000000000001,0,0,0
ECSEX,2,5402,9.99,37.36,87,21.49,39,6,2.04,1000,51,-2.3600000000000003,0,0,0
AVUAX,3,16969,11.87,41.78,96,20.7,55,14,0.78,5000000,8390,-7.44,0,1,1
DHQIX,4,42638,27.61,54.41,33,46.28,54,5,1.3,1000,32,-10.73,0,1,0
FEFAX,3,190504,32.37,45.53,37,56.46,98,0,1.28,2500,556,-11.68,0,0,0
DVEAX,3,52313,10.07,40.95,38,41.67,134,0,1.24,1000,379,7.190000000000001,1,0,0
GGCIX,4,297888,32.62,43.89,50,54.39,75,14,1.13,500000,1011,9.91,1,1,0
WBVDX,3,3333,8.98,32.32,86,19.18,116,18,1.5,2500,50,-12.16,0,1,0
GPAFX,1,40922,11.34,43.73,50,31.7,51,8,0.89,2500,476,-7.550000000000002,0,0,0
HUSIX,1,1476,6.64,42.47,40,56.69,72,14,1.65,5000,31,-9.39,0,1,0
EPLBX,2,80376,24.77,51.58,106,18.13,29,10,2.08,1000,974,-9.29,0,0,0
LGOVX,4,21749,7.15,42.42,100,19.25,27,4,0.86,0,820,9.46,1,1,0
AEIYX,2,81529,23.7,43.44,105,31.07,85,17,0.56,0,11794,-5.5,0,1,0
BMIDX,5,18434,12.59,42.34,63,28.8,35,3,0.85,100,180,7.559999999999999,1,1,0
MSCFX,2,2890,2.54,32.59,49,36.46,15,5,1.05,2500,386,-2.7700000000000005,0,1,0
AIVSX,2,165629,22.23,45.93,207,34.18,31,14,0.59,250,108400,-2.84,0,0,0
DRIPX,1,74682,20.4,51.09,70,24.81,6,13,0.69,0,85,-3.0,0,1,0
VSVCX,3,71972,28.52,44.86,79,30.32,102,2,2.1,2500,48,-5.99,0,0,0
HHDVX,2,38930,22.38,48.24,29,41.29,21,6,1.17,2500,625,-7.15,0,1,0
VNVCX,3,9701,11.48,44.96,68,27.34,52,11,1.99,2500,290,-8.150000000000002,0,0,0
HIGSX,5,153772,29.2,48.21,42,36.09,41,6,0.72,0,862,-3.62,0,1,0
TOTRX,2,12508,6.58,44.08,67,23.43,82,4,1.25,0,1600,-6.330000000000001,0,0,0
DFMGX,4,19768,12.14,38.01,36,42.96,31,10,0.85,500000,672,7.879999999999999,1,1,0
LADPX,3,5286,-6.16,30.88,102,17.28,122,6,1.14,0,5141,23.24,1,1,0
MNNYX,2,67030,27.97,44.85,79,28.49,100,5,0.99,1000000,411,-4.540000000000001,0,1,0
HMVYX,2,8695,8.54,40.9,83,19.39,61,4,0.82,250000,746,-7.19,0,1,0
TRJZX,3,258775,23.74,39.14,87,45.62,27,7,0.0,0,70292,8.419999999999998,1,1,1
FVDKX,4,51559,13.05,41.5,112,24.27,70,9,0.54,0,2576,-5.090000000000002,0,1,0
MIDIX,4,151558,30.87,51.13,73,39.78,121,2,0.91,1000000,196,-3.2500000000000013,0,1,0
RSCKX,1,3638,-8.33,43.24,41,38.97,89,9,1.75,0,89,6.969999999999999,1,0,1
LIVVX,4,95714,22.35,51.22,55,34.04,23,15,0.95,1000,1729,-6.380000000000001,0,0,0
OTCCX,5,21470,13.35,39.89,107,23.0,34,11,1.79,1000,14337,6.98,1,0,0
OLVRX,2,26609,6.52,50.48,77,29.58,177,8,0.69,0,1813,-5.700000000000001,0,1,0
GGZPX,2,123209,26.25,42.94,138,29.64,69,13,0.61,0,26,2.26,1,1,0
AMGCX,4,15066,8.34,32.59,110,21.4,182,4,2.1,1000,299,11.099999999999998,1,0,0
GABEX,1,28806,17.86,47.46,212,29.3,0,29,1.45,1000,570,-7.94,0,1,0
SLGYX,4,192186,38.13,47.22,57,42.89,74,5,1.52,250,33,3.67,1,0,0
MVCAX,3,13303,6.25,43.82,152,11.35,19,12,1.06,1000,12057,-5.800000000000002,0,0,0
HNGSX,3,161362,28.74,43.67,37,42.01,22,7,0.63,1000000,120,2.4199999999999977,1,1,0
CMLFX,4,101581,24.68,48.98,175,23.07,24,10,0.4,250,70768,-4.300000000000002,0,1,0
ATFFX,4,333560,28.85,39.9,25,59.97,59,3,0.98,25000,25,11.09,1,1,0
SMDQX,4,13769,16.31,44.66,32,50.71,60,4,1.79,1000,12,-4.4700000000000015,0,0,0
MERBX,4,18242,16.55,36.74,30,45.46,24,10,2.15,1000,623,-2.9000000000000004,0,0,1
IEOHX,3,170254,31.0,45.13,56,48.26,78,7,0.67,0,6559,6.549999999999998,1,1,0
FBGKX,2,158098,18.1,39.63,464,45.78,49,12,0.69,0,48446,17.249999999999996,1,1,0
PEQSX,2,77240,19.73,51.57,92,25.41,12,5,0.55,0,13624,-3.5800000000000014,0,1,0
MSMJX,4,17004,13.86,41.03,82,21.04,27,8,0.72,1000000,2755,-2.89,0,1,0
NCBVX,3,11316,2.55,41.96,190,10.63,55,7,1.96,1000,229,-16.4,0,0,0
THGRX,3,149515,19.27,39.26,43,47.92,44,0,0.99,0,799,8.830000000000002,1,1,0
IPSSX,3,1899,6.54,35.37,561,7.46,43,7,0.82,0,256,-6.200000000000001,0,1,0
WLCIX,3,59144,17.74,39.05,110,25.3,366,4,0.5,1000000,221,-5.23,0,1,0
HWVIX,2,1210,1.36,38.58,352,5.13,53,7,0.82,250000,268,-7.950000000000001,0,1,0
MIGBX,4,162582,28.83,42.15,54,42.39,23,8,1.46,1000,9996,4.799999999999997,1,0,0
RSQCX,4,1231,13.19,14.25,38,40.93,20,14,2.25,2000,998,-10.19,0,0,0
FTHFX,5,3172,14.38,38.02,116,27.53,54,8,0.69,1000000,3954,-3.5200000000000014,0,1,0
NGDCX,2,124831,17.12,38.26,73,31.64,49,5,1.81,2500,1750,4.389999999999999,1,0,0
LGOQX,4,21749,7.15,42.42,100,19.25,27,4,1.51,0,820,8.009999999999998,1,0,0
MCMYX,4,7057,13.23,38.14,80,19.77,57,0,0.87,100000,92,-2.039999999999999,0,1,0
VSCAX,3,3131,3.52,45.94,72,31.61,47,11,1.13,1000,1248,-9.21,0,0,0
SDSCX,2,10701,-7.77,36.19,104,25.25,55,9,0.73,1000,4968,19.76,1,1,0
WBSRX,3,2593,1.17,43.11,92,17.76,51,2,1.18,1000000,707,8.09,1,1,0
SSMAX,4,4313,9.49,41.07,543,8.74,111,6,0.41,100000,1208,-2.460000000000001,0,1,0
JAMRX,3,196427,28.07,43.02,81,49.6,38,1,0.76,2500,18949,7.1099999999999985,1,1,0
VAFCX,3,154246,21.51,40.93,95,44.36,52,11,1.75,1000,15752,7.079999999999997,1,0,0
BMDSX,4,18314,23.57,35.62,60,25.99,43,15,1.07,2500,2224,7.75,1,1,0
AFYCX,3,133434,31.58,52.43,48,35.85,16,7,1.83,2500,1916,-5.44,0,0,0
WEEIX,1,92034,17.48,42.35,47,28.72,46,5,1.38,500000,51,-6.420000000000001,0,1,0
SSCVX,2,3587,7.48,39.69,57,28.48,17,5,1.31,2000,500,-6.9700000000000015,0,0,0
VCBCX,2,284211,24.03,36.47,122,47.96,27,20,0.83,0,1012,6.580000000000003,1,1,0
VPMAX,2,108801,27.77,46.1,154,37.67,6,22,0.31,50000,69450,2.0699999999999985,1,1,1
JVTCX,4,4014,-0.84,34.17,136,19.87,25,6,1.71,2500,4217,3.169999999999998,1,0,1
ESEAX,3,41817,17.23,46.77,30,48.85,18,9,1.05,1000,1023,2.3899999999999992,1,0,0
DCSVX,2,1675,8.34,37.99,113,13.22,135,8,2.17,5000,65,-11.16,0,0,0
ACSRX,1,50662,9.82,46.41,83,25.49,30,13,1.07,0,8796,-10.09,0,0,0
ARIMX,4,3429,6.65,42.69,59,35.51,47,12,1.05,100000,219,-4.28,0,1,0
WWSAX,3,1790,0.14,37.3,94,26.66,18,8,1.5,1000,49,-4.0200000000000005,0,0,0
GTILX,5,67041,39.01,43.82,59,28.53,69,12,0.68,10000000,2390,2.5,1,1,0
ELFNX,3,209743,27.25,43.5,47,42.01,17,1,0.18,500,3479,5.09,1,1,0
BASMX,2,102497,22.87,44.6,2777,22.42,15,3,0.3,1000,1550,2.089999999999998,1,1,0
PSLBX,2,1099,3.29,41.64,111,15.3,108,2,1.98,0,179,-11.08,0,0,1
DPSRX,2,6638,13.76,39.79,297,10.55,85,2,0.96,1000,111,-8.49,0,1,0
JTUCX,2,1648,-1.44,40.14,482,8.52,52,3,1.74,1000,1051,-3.49,0,0,0
BITSX,2,102497,22.87,44.6,2777,22.42,15,3,0.08,2000000,1550,2.549999999999999,1,1,0
SSEFX,1,4919,12.48,51.21,26,52.09,11,9,1.32,2000,47,-7.100000000000001,0,1,0
ESGGX,3,37852,14.26,44.08,84,36.93,18,7,1.14,1000,37,-6.3100000000000005,0,1,1
SAGYX,3,35512,14.03,43.08,54,54.69,2,24,0.81,1000000,7113,-2.3600000000000008,0,1,0
FDGCX,4,70349,19.72,48.03,129,24.26,113,1,1.61,0,1031,-7.260000000000002,0,0,0
LMVTX,1,39618,5.58,49.73,69,26.73,74,9,1.75,1000,1849,-6.710000000000001,0,0,0
JVSAX,1,3582,15.55,39.25,51,25.77,152,2,1.34,2500,73,-7.950000000000001,0,0,0
VVIAX,3,93077,18.62,48.01,328,22.01,12,15,0.05,3000,99101,-5.170000000000001,0,1,0
RWEBX,2,117267,20.76,46.39,182,30.64,30,9,1.07,250,138572,-4.190000000000001,0,0,0
EMICX,4,162582,28.83,42.15,54,42.39,23,8,1.52,250,9996,4.68,1,0,0
THCGX,3,149515,19.27,39.26,43,47.92,44,0,1.33,5000,799,8.080000000000002,1,0,0
LMPRX,3,35512,14.03,43.08,54,54.69,2,24,1.42,0,7113,-3.640000000000001,0,0,0
STAFX,3,226787,24.5,39.31,66,50.65,34,11,1.05,1000,1150,5.649999999999999,1,0,0
SCIUX,4,35753,30.81,52.58,108,19.53,122,0,0.74,1000000,197,-11.24,0,1,0
